locality_identifier,household_identifier,health_expenditures_base,age_hh,age_sp,educ_hh,educ_sp,hospital_base,health_expenditures_end,hospital_end,eligible,enrolled,treatment,poverty_index,female_hh,indigenous,hhsize,dirtfloor,bathroom,land,hospital_distance
1,14479,23.382795,44,44,0,0,,49.917538,,0,0,0,87.171562,0,1,2,0,1,1,30.72069994435245
1,14481,11.682791,43,40,6,0,,24.21571,,0,0,0,67.69706,0,1,7,1,1,3,30.72069994435245
1,14482,18.198156,45,41,6,5,,44.564442,,0,0,0,66.692429,0,1,5,0,1,1,30.72069994435245
1,14485,21.694727,41,41,9,2,,17.121048,,0,0,0,63.06028,1,1,4,0,1,0,30.72069994435245
2,1336,27.209068,35,27,12,4,,18.113913,,0,0,0,78.091187,0,0,3,0,0,0,143.8482340836151
2,1337,19.374935,72,57,0,0,,15.389749,,0,0,0,64.277435,0,0,5,1,1,5,143.8482340836151
2,1340,27.261868,41,41,5,2,,16.423668,,0,0,0,59.582691,0,0,2,1,1,1,143.8482340836151
2,1341,8.9372978,55,50,0,2,0,9.7023888,0,1,0,0,51.120556,0,0,9,1,1,2,143.8482340836151
2,1342,13.306187,50,38,2,3,0,16.734882,0,1,0,0,47.527046,0,0,7,1,1,1,143.8482340836151
2,1343,27.321341,86,41,0,2,,14.63649,,0,0,0,64.219475,0,0,2,1,1,1,143.8482340836151
2,1347,23.208822,46,40,3,0,,10.98264,,0,0,0,61.901081,0,0,4,0,1,1,143.8482340836151
2,1348,20.593397,27,24,6,9,,9.8023806,,0,0,0,62.442039,0,0,4,0,1,0,143.8482340836151
2,1349,26.379049,72,41,0,2,,23.866825,,0,0,0,63.523956,1,0,2,1,1,0,143.8482340836151
2,1350,15.853376,40,34,3,4,,11.996411,,0,0,0,58.732613,0,0,6,1,1,1,143.8482340836151
2,1428,14.422837,24,23,1,6,0,15.60598,0,1,0,0,49.922722,0,0,6,0,0,0,77.66020817117493
2,1429,27.794346,60,60,2,0,,47.058838,,0,0,0,68.083466,0,0,2,0,0,1,77.66020817117493
2,1430,11.041175,37,32,9,0,,13.307318,,0,0,0,58.552296,0,0,8,1,0,1,77.66020817117493
2,1431,12.696592,28,22,5,4,0,20.142365,0,1,0,0,54.945904,0,0,7,0,0,0,77.66020817117493
2,1432,18.205666,32,28,6,6,0,16.899261,0,1,0,0,53.709427,0,0,5,0,0,3,77.66020817117493
2,1433,23.903471,62,32,1,2,,13.960572,,0,0,0,64.451317,0,0,4,0,1,3,77.66020817117493
2,1434,12.452844,40,37,3,5,0,16.444227,0,1,0,0,51.545593,0,0,7,1,1,0,77.66020817117493
2,1435,31.189878,60,41,1,2,,17.974182,,0,0,0,66.537865,0,0,2,0,1,3,77.66020817117493
2,1436,21.603222,70,71,2,2,,14.14339,,0,0,0,63.987637,0,0,4,1,1,3,77.66020817117493
2,1437,25.464487,77,67,0,3,,38.32254,,0,0,0,68.044823,0,0,3,0,1,3,77.66020817117493
2,1438,18.714132,41,44,3,0,,14.272919,,0,0,0,61.128284,0,0,6,0,1,0,77.66020817117493
2,1439,9.2820282,50,48,1,2,,10.362519,,0,0,0,69.010818,0,0,11,0,1,1,77.66020817117493
2,1440,16.10051,37,36,9,9,,11.363064,,0,0,0,63.987637,0,0,6,1,1,3,77.66020817117493
2,1441,15.100508,39,33,0,3,,23.196426,,0,0,0,61.076763,0,0,7,0,1,0,77.66020817117493
2,1442,14.464822,48,43,2,3,0,17.395927,0,1,0,0,43.508499,0,0,8,0,1,4,77.66020817117493
2,1443,15.453207,69,55,0,0,0,16.910027,1,1,0,0,49.227203,0,0,6,1,1,2,77.66020817117493
